Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ALDRIN+DIELDRIN;Aldrin + Dieldrin;µg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ALUMINIO DISSOLVIDO;Alumínio dissolvido;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ANTIMONIO TOTAL;Antimônio;mg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ARSENIO TOTAL;Arsênio total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ATRAZINA;Atrazina;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BARIO TOTAL;Bário total;mg/L;;0.7;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BENZENO;Benzeno;mg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BENZIDINA;Benzidina;µg/L;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BENZO(A)ANTRACENO;Benzo(a)antraceno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BENZO(A)PIRENO;Benzo(a)pireno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BENZO(B)FLUORANTENO;Benzo(b)fluoranteno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BENZO(K)FLUORANTENO;Benzo(k)fluoranteno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BERILIO TOTAL;Berílio total;mg/L;;0.04;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;BORO TOTAL;Boro total;mg/L;;0.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CADMIO TOTAL;Cádmio total;mg/L;;0.001;
